"genes"	"modules"
"AP3B1"	"M2"
"AP3B2"	"M7"
"AP3D1"	"M10"
"AP3M1"	"M11"
"AP3S1"	"M2"
"AP3S2"	"M3"
"AP4B1-AS1"	"M3"
"AP4E1"	"M10"
"AP4M1"	"M3"
"AP4S1"	"M16"
"AP5B1"	"M13"
"AP5S1"	"M2"
"AP5Z1"	"M5"
"APAF1"	"M2"
"APBA1"	"M1"
"APBA2"	"M5"
"APBA3"	"M5"
"APBB1"	"M4"
"APBB1IP"	"M30"
"APBB2"	"M1"
"APBB3"	"M5"
"APC"	"M17"
"APC2"	"M5"
"APCDD1"	"M1"
"APCDD1L-DT"	"M12"
"APEH"	"M14"
"APELA"	"M3"
"APEX1"	"M6"
"APH1A"	"M3"
"APH1B"	"M1"
"API5P2"	"M1"
"APIP"	"M8"
"APLF"	"M2"
"APLNR"	"M1"
"APLP1"	"M22"
"APMAP"	"M3"
"APOA1"	"M20"
"APOA2"	"M20"
"APOB"	"M20"
"APOBEC3A"	"M17"
"APOBEC3B-AS1"	"M4"
"APOBEC3C"	"M14"
"APOBEC3D"	"M25"
"APOBEC3F"	"M19"
"APOBEC3G"	"M2"
"APOBEC3H"	"M2"
"APOBR"	"M2"
"APOC1"	"M20"
"APOC1P1"	"M2"
"APOC2"	"M20"
"APOC3"	"M20"
"APOC4"	"M2"
"APOC4-APOC2"	"M20"
"APOD"	"M30"
"APOE"	"M20"
"APOH"	"M20"
"APOL1"	"M9"
"APOL2"	"M9"
"APOL3"	"M26"
"APOL4"	"M1"
"APOL6"	"M5"
"APOLD1"	"M1"
"APOM"	"M20"
"APP"	"M22"
"APP-DT"	"M11"
"APPBP2"	"M7"
"APPL1"	"M2"
"APRT"	"M5"
"AQP1"	"M20"
"AQP11"	"M1"
"AQP3"	"M20"
"AQP4"	"M1"
"AQP4-AS1"	"M1"
"AQP5"	"M4"
"AQP6"	"M2"
"AQP7"	"M4"
"AQP7P1"	"M1"
"AQP8"	"M2"
"AQR"	"M2"
"ARAP1"	"M1"
"ARAP2"	"M23"
"ARAP3"	"M11"
"ARC"	"M6"
"AREG"	"M19"
"ARF1"	"M29"
"ARF1P2"	"M16"
"ARF3"	"M22"
"ARF4"	"M4"
"ARF4-AS1"	"M6"
"ARF5"	"M14"
"ARF6"	"M8"
"ARFGAP1"	"M5"
"ARFGAP2"	"M14"
"ARFGEF1-DT"	"M1"
"ARFGEF2"	"M2"
